Planet ,Satellite ,Code ,Ephemeris ,Frame ,Epoch(TDB),a(km),e ,Ï‰(deg),M(deg),i(deg),node(deg),P(days),Papsis(yr),Pnode(yr),R.A.(deg),Dec.(deg),Tilt(deg),Ref.
Saturn,Skoll,647,SAT452,ecliptic,2000-01-01.5,17625700.,0.470,18.7,217.3,158.4,209.6,878.442200,309.137,406.313,,,,34
Saturn,Surtur,648,SAT452,ecliptic,2000-01-01.5,22753800.,0.449,277.2,119.3,168.3,111.0,1296.489929,214.970,280.526,,,,34
Saturn,Jarnsaxa,650,SAT452,ecliptic,2000-01-01.5,19279700.,0.219,261.9,120.8,163.0,287.6,1006.921775,313.556,398.444,,,,34
Saturn,Greip,651,SAT452,ecliptic,2000-01-01.5,18380400.,0.317,138.1,3.8,173.4,335.3,936.975214,352.683,537.037,,,,34
Saturn,Tarqeq,652,SAT452,ecliptic,2000-01-01.5,17748200.,0.119,19.9,15.7,49.7,144.7,884.975825,1022.941,692.451,,,,34
Saturn,Gridr,654,SAT452,ecliptic,2000-01-01.5,19250700.,0.187,124.1,232.5,163.9,124.2,1004.753933,329.206,426.515,,,,34
Saturn,Angrboda,655,SAT452,ecliptic,2000-01-01.5,20591000.,0.216,142.5,214.5,177.4,302.8,1114.053266,1169.747,8760.873,,,,34
Saturn,Skrymir,656,SAT452,ecliptic,2000-01-01.5,21448000.,0.437,324.2,140.6,175.6,192.7,1185.149796,211.683,278.645,,,,34
Saturn,Gerd,657,SAT452,ecliptic,2000-01-01.5,20947500.,0.517,40.1,352.4,174.4,259.6,1142.969762,205.464,272.909,,,,34
Saturn,S2004_s26,658,SAT452,ecliptic,2000-01-01.5,26097100.,0.148,114.2,242.0,172.9,342.4,1603.946238,214.452,250.670,,,,34
Saturn,Eggther,659,SAT452,ecliptic,2000-01-01.5,19844700.,0.157,141.3,53.2,165.0,214.2,1052.327943,305.436,386.339,,,,34
Saturn,S2004_s29,660,SAT452,ecliptic,2000-01-01.5,17063900.,0.485,282.3,303.6,38.6,86.1,837.775221,230.693,325.433,,,,34
Saturn,Beli,661,SAT452,ecliptic,2000-01-01.5,20703800.,0.087,310.1,236.6,158.9,23.5,1121.760105,346.364,391.405,,,,34
Saturn,Gunnlod,662,SAT452,ecliptic,2000-01-01.5,21141900.,0.251,12.6,266.9,160.4,37.1,1157.982496,292.366,348.588,,,,34
Saturn,Thiazzi,663,SAT452,ecliptic,2000-01-01.5,23577500.,0.511,110.4,274.1,158.8,38.4,1366.681542,190.083,233.595,,,,34
Saturn,S2004_s34,664,SAT452,ecliptic,2000-01-01.5,24145500.,0.279,38.1,355.5,168.3,316.0,1420.768240,223.397,271.293,,,,34
Saturn,Alvaldi,665,SAT452,ecliptic,2000-01-01.5,21995600.,0.238,225.6,6.8,177.4,279.7,1232.185075,881.371,5731.247,,,,34
Saturn,Geirrod,666,SAT452,ecliptic,2000-01-01.5,22259500.,0.539,19.1,188.6,154.4,122.4,1251.143716,205.208,252.735,,,,34
Saturn,S2004_S31,65067,SAT453,ecliptic,2000-01-01.5,17497300.,0.159,261.9,254.5,48.1,75.3,866.100491,94842.472,638.118,,,,38
Saturn,S2004_S24,65070,SAT453,ecliptic,2000-01-01.5,23338900.,0.071,203.9,264.9,37.4,349.8,1341.330505,136.628,420.617,,,,38
Saturn,S2004_S28,65077,SAT453,ecliptic,2000-01-01.5,21865900.,0.159,194.8,196.6,167.9,127.8,1220.684396,264.011,327.875,,,,38
Saturn,S2004_S21,65079,SAT453,ecliptic,2000-01-01.5,23123500.,0.394,185.1,314.8,153.2,113.7,1325.428533,242.595,270.650,,,,38
Saturn,S2004_S36,65081,SAT453,ecliptic,2000-01-01.5,23430300.,0.625,206.5,76.8,153.3,220.5,1352.934527,171.909,215.805,,,,38
Saturn,S2004_S37,65082,SAT453,ecliptic,2000-01-01.5,15940400.,0.447,79.1,262.2,158.2,140.0,754.482835,321.657,415.265,,,,38
Saturn,S2004_S39,65084,SAT453,ecliptic,2000-01-01.5,23195400.,0.101,202.2,132.8,165.9,164.4,1336.165008,261.795,310.719,,,,38
Saturn,S2004_S07,65085,SAT453,ecliptic,2000-01-01.5,21328200.,0.511,54.9,116.8,164.9,323.8,1173.932689,208.807,268.040,,,,38
Saturn,S2004_S12,65086,SAT453,ecliptic,2000-01-01.5,19801200.,0.337,86.7,118.7,164.7,305.4,1048.567438,277.778,360.609,,,,38
Saturn,S2004_S13,65087,SAT453,ecliptic,2000-01-01.5,18453300.,0.265,348.6,352.5,169.0,207.8,942.566141,289.952,387.952,,,,38
Saturn,S2004_S17,65088,SAT453,ecliptic,2000-01-01.5,19699300.,0.162,180.1,196.4,167.9,24.3,1040.857280,309.776,409.314,,,,38
Saturn,S2006_S01,65089,SAT453,ecliptic,2000-01-01.5,18745000.,0.105,161.0,134.2,156.0,336.6,964.136070,419.039,481.560,,,,38
Saturn,S2006_S03,65090,SAT453,ecliptic,2000-01-01.5,21353000.,0.432,179.8,74.1,156.1,208.5,1174.755951,241.231,290.223,,,,38
Saturn,S2007_S02,65091,SAT453,ecliptic,2000-01-01.5,15939100.,0.232,56.6,136.6,174.1,115.1,754.904602,317.148,443.880,,,,38
Saturn,S2007_S03,65092,SAT453,ecliptic,2000-01-01.5,19513700.,0.162,199.2,153.1,175.6,328.5,1026.351670,224.046,284.295,,,,38
Saturn,S2019_S01,65093,SAT453,ecliptic,2000-01-01.5,11245400.,0.384,94.6,34.9,49.5,178.1,445.513921,1639.196,671.190,,,,38
Saturn,S2019_S02,65094,SAT453,ecliptic,2000-01-01.5,16559900.,0.279,100.2,353.7,173.3,101.0,799.824482,308.857,431.270,,,,38
Saturn,S2019_S03,65095,SAT453,ecliptic,2000-01-01.5,17077200.,0.249,129.2,29.8,166.9,234.6,837.746058,333.103,456.300,,,,38
Saturn,S2020_S01,65096,SAT453,ecliptic,2000-01-01.5,11338700.,0.337,85.8,357.3,48.2,149.4,451.098264,17924.567,834.487,,,,38
Saturn,S2020_S02,65097,SAT453,ecliptic,2000-01-01.5,17869300.,0.152,132.4,181.4,170.7,99.4,897.609743,312.643,427.587,,,,38
Saturn,S2004_S40,65098,SAT453,ecliptic,2000-01-01.5,16075600.,0.297,139.7,199.0,169.2,42.4,764.603310,353.442,505.588,,,,38
Saturn,S2006_S09,65100,SAT453,ecliptic,2000-01-01.5,14406600.,0.248,355.8,328.6,173.0,46.1,647.891184,403.291,610.344,,,,38
Saturn,S2007_S05,65101,SAT453,ecliptic,2000-01-01.5,15835700.,0.104,39.1,129.7,158.4,129.2,746.879581,455.488,553.831,,,,38
Saturn,S2020_S03,65102,SAT453,ecliptic,2000-01-01.5,18054700.,0.144,5.0,86.5,46.1,218.7,907.993671,734.466,616.543,,,,38
Saturn,S2019_S04,65103,SAT453,ecliptic,2000-01-01.5,17956700.,0.409,249.4,333.9,170.1,302.6,904.263117,290.874,405.929,,,,38
Saturn,S2004_S41,65104,SAT453,ecliptic,2000-01-01.5,18095000.,0.300,238.5,237.9,165.7,56.7,914.617304,308.311,414.067,,,,38
Saturn,S2020_S04,65105,SAT453,ecliptic,2000-01-01.5,18235500.,0.495,163.7,166.9,40.1,74.2,926.924252,209.265,289.847,,,,38
Saturn,S2020_S05,65106,SAT453,ecliptic,2000-01-01.5,18391300.,0.220,271.9,238.1,48.2,226.5,933.884662,6907.781,482.830,,,,38
Saturn,S2007_S06,65107,SAT453,ecliptic,2000-01-01.5,18544900.,0.169,24.1,50.3,166.5,328.9,949.496698,341.925,463.259,,,,38
Saturn,S2004_S42,65108,SAT453,ecliptic,2000-01-01.5,18240800.,0.158,118.1,299.2,165.7,11.0,925.913315,349.556,471.900,,,,38
Saturn,S2006_S10,65109,SAT453,ecliptic,2000-01-01.5,18979900.,0.151,102.3,160.4,161.6,357.1,983.138490,356.352,448.753,,,,38
Saturn,S2019_S05,65110,SAT453,ecliptic,2000-01-01.5,19076900.,0.215,319.3,244.1,158.8,264.2,990.382525,348.383,420.918,,,,38
Saturn,S2004_S43,65111,SAT453,ecliptic,2000-01-01.5,18935000.,0.432,227.2,2.3,171.1,187.1,980.082408,244.743,326.972,,,,38
Saturn,S2004_S44,65112,SAT453,ecliptic,2000-01-01.5,19515400.,0.129,177.0,202.4,167.7,49.9,1026.162501,311.865,410.799,,,,38
Saturn,S2004_S45,65113,SAT453,ecliptic,2000-01-01.5,19693600.,0.551,346.7,197.4,154.0,299.8,1038.697534,232.518,288.745,,,,38
Saturn,S2006_S11,65114,SAT453,ecliptic,2000-01-01.5,19711900.,0.144,145.4,236.0,174.1,236.6,1042.282443,279.494,375.849,,,,38
Saturn,S2006_S12,65115,SAT453,ecliptic,2000-01-01.5,19569800.,0.542,79.7,255.7,38.6,149.9,1035.053952,166.029,232.900,,,,38
Saturn,S2019_S06,65116,SAT453,ecliptic,2000-01-01.5,20048600.,0.259,320.1,161.9,41.3,163.2,1066.404324,230.418,400.204,,,,38
Saturn,S2006_S13,65117,SAT453,ecliptic,2000-01-01.5,19953800.,0.313,259.1,143.7,162.0,54.3,1060.628607,285.493,360.379,,,,38
Saturn,S2019_S07,65118,SAT453,ecliptic,2000-01-01.5,20181300.,0.232,340.1,290.0,174.2,203.0,1080.293408,256.488,338.796,,,,38
Saturn,S2019_S08,65119,SAT453,ecliptic,2000-01-01.5,20284400.,0.311,126.7,87.8,172.8,152.8,1088.677436,245.866,324.974,,,,38
Saturn,S2019_S09,65120,SAT453,ecliptic,2000-01-01.5,20359000.,0.433,302.7,38.5,159.5,104.0,1093.112692,248.831,310.771,,,,38
Saturn,S2004_S46,65121,SAT453,ecliptic,2000-01-01.5,20513000.,0.249,303.0,345.2,177.2,298.5,1107.578788,1032.906,61935.649,,,,38
Saturn,S2019_S10,65122,SAT453,ecliptic,2000-01-01.5,20713400.,0.249,0.8,315.7,163.9,269.5,1123.042756,283.636,352.541,,,,38
Saturn,S2004_S47,65123,SAT453,ecliptic,2000-01-01.5,16050600.,0.291,288.5,167.1,160.9,290.2,762.488049,391.882,532.693,,,,38
Saturn,S2019_S11,65124,SAT453,ecliptic,2000-01-01.5,20663700.,0.513,43.2,214.0,144.6,349.0,1114.995811,258.878,290.591,,,,38
Saturn,S2006_S14,65125,SAT453,ecliptic,2000-01-01.5,21062100.,0.060,158.1,58.1,166.7,268.0,1152.676467,294.103,371.976,,,,38
Saturn,S2019_S12,65126,SAT453,ecliptic,2000-01-01.5,20904500.,0.476,261.5,254.7,167.1,336.6,1138.846402,221.182,287.554,,,,38
Saturn,S2020_S06,65127,SAT453,ecliptic,2000-01-01.5,21265300.,0.481,41.5,222.3,166.9,29.9,1168.863185,214.082,276.912,,,,38
Saturn,S2019_S13,65128,SAT453,ecliptic,2000-01-01.5,20965800.,0.318,218.1,263.5,177.3,287.4,1144.918619,1053.426,11709.938,,,,38
Saturn,S2005_S04,65129,SAT453,ecliptic,2000-01-01.5,11324500.,0.315,99.2,252.5,48.0,174.1,450.220770,17688.104,920.701,,,,38
Saturn,S2007_S07,65130,SAT453,ecliptic,2000-01-01.5,15931700.,0.217,157.5,41.4,169.2,10.1,754.289392,390.244,578.789,,,,38
Saturn,S2007_S08,65131,SAT453,ecliptic,2000-01-01.5,17049000.,0.490,265.8,354.9,36.2,198.2,836.901630,221.971,325.885,,,,38
Saturn,S2020_S07,65132,SAT453,ecliptic,2000-01-01.5,17400000.,0.500,290.5,246.0,161.5,163.9,861.699875,269.176,351.682,,,,38
Saturn,S2019_S14,65133,SAT453,ecliptic,2000-01-01.5,17853000.,0.172,344.8,196.8,46.2,154.4,893.142349,682.661,580.690,,,,38
Saturn,S2019_S15,65134,SAT453,ecliptic,2000-01-01.5,21189700.,0.257,14.0,251.5,157.7,32.1,1161.542985,305.543,348.984,,,,38
Saturn,S2005_S05,65135,SAT453,ecliptic,2000-01-01.5,21366200.,0.588,280.8,203.7,169.5,87.5,1177.824834,187.849,247.314,,,,38
Saturn,S2006_S15,65136,SAT453,ecliptic,2000-01-01.5,21799400.,0.117,237.2,267.8,161.1,22.0,1213.963258,310.200,361.121,,,,38
Saturn,S2006_S16,65137,SAT453,ecliptic,2000-01-01.5,21720700.,0.204,290.3,86.8,164.1,161.1,1207.522180,269.497,328.291,,,,38
Saturn,S2006_S17,65138,SAT453,ecliptic,2000-01-01.5,22384900.,0.425,139.5,38.2,168.7,257.4,1264.580999,211.221,270.594,,,,38
Saturn,S2004_S48,65139,SAT453,ecliptic,2000-01-01.5,22136700.,0.374,290.9,164.1,161.9,185.6,1242.398907,235.225,288.592,,,,38
Saturn,S2020_S08,65140,SAT453,ecliptic,2000-01-01.5,21966700.,0.252,37.1,98.5,161.8,53.6,1228.118465,272.686,325.564,,,,38
Saturn,S2004_S49,65141,SAT453,ecliptic,2000-01-01.5,22399700.,0.453,189.3,309.8,159.7,217.2,1264.250552,217.110,268.849,,,,38
Saturn,S2004_S50,65142,SAT453,ecliptic,2000-01-01.5,22346000.,0.450,182.4,102.5,164.0,171.7,1260.443123,213.002,270.314,,,,38
Saturn,S2006_S18,65143,SAT453,ecliptic,2000-01-01.5,22760700.,0.131,74.9,253.9,169.5,62.1,1298.397709,258.201,320.454,,,,38
Saturn,S2019_S16,65144,SAT453,ecliptic,2000-01-01.5,23266700.,0.250,280.8,305.0,162.0,199.8,1341.165508,252.285,294.807,,,,38
Saturn,S2019_S17,65145,SAT453,ecliptic,2000-01-01.5,22724100.,0.546,296.7,196.0,155.5,110.9,1291.390483,194.834,239.696,,,,38
Saturn,S2019_S18,65146,SAT453,ecliptic,2000-01-01.5,23140700.,0.509,299.7,259.0,154.6,213.5,1327.060729,202.964,244.192,,,,38
Saturn,S2019_S19,65147,SAT453,ecliptic,2000-01-01.5,23047200.,0.458,301.0,219.1,151.8,231.9,1318.046089,225.998,258.412,,,,38
Saturn,S2019_S20,65148,SAT453,ecliptic,2000-01-01.5,23678600.,0.354,187.8,294.2,156.1,177.0,1375.449932,240.237,270.907,,,,38
Saturn,S2006_S19,65149,SAT453,ecliptic,2000-01-01.5,23801100.,0.467,22.9,348.6,175.5,273.1,1389.333227,186.511,240.778,,,,38
Saturn,S2004_S51,65150,SAT453,ecliptic,2000-01-01.5,25208200.,0.201,78.7,212.8,171.2,290.3,1519.425920,220.597,263.104,,,,38
Saturn,S2020_S09,65151,SAT453,ecliptic,2000-01-01.5,25434100.,0.531,178.1,0.8,161.4,24.7,1534.973527,167.370,207.368,,,,38
Saturn,S2004_S52,65152,SAT453,ecliptic,2000-01-01.5,26448100.,0.292,290.5,295.5,165.3,194.5,1633.984418,208.207,239.266,,,,38
Saturn,S2007_S09,65153,SAT453,ecliptic,2000-01-01.5,20174600.,0.360,114.3,81.7,159.3,257.2,1078.067649,273.956,335.437,,,,38
Saturn,S2004_S53,65154,SAT453,ecliptic,2000-01-01.5,23279800.,0.240,280.9,337.2,162.6,207.7,1342.435752,252.517,295.945,,,,38
Saturn,S2020_S10,65155,SAT453,ecliptic,2000-01-01.5,25314800.,0.295,196.7,57.6,165.6,235.6,1527.223222,214.677,253.790,,,,38
Saturn,S2019_S21,65156,SAT453,ecliptic,2000-01-01.5,26439000.,0.155,36.5,342.9,171.9,1.5,1636.317597,212.610,245.511,,,,38
Saturn,S2006_S20,65157,SAT453,ecliptic,2000-01-01.5,13193800.,0.206,80.6,19.6,173.1,70.1,567.272723,424.352,635.434,,,,38
Uranus,Ariel,701,URA111,Laplace,2000-01-01.5,190900.,0.001,83.3,119.8,0.0,0.0,2.520680,57.778,0.000,77.3,15.2,180.0,10
Uranus,Umbriel,702,URA111,Laplace,2000-01-01.5,266000.,0.004,157.5,258.3,0.1,195.5,4.144548,65.761,136.799,77.3,15.2,180.0,10
Uranus,Titania,703,URA111,Laplace,2000-01-01.5,436300.,0.001,202.0,53.2,0.1,26.4,8.706444,367.905,17295.870,77.3,15.2,180.0,10
Uranus,Oberon,704,URA111,Laplace,2000-01-01.5,583400.,0.001,182.4,139.7,0.1,30.5,13.463606,522.476,855.045,77.3,15.2,180.0,10
Uranus,Miranda,705,URA111,Laplace,2000-01-01.5,129900.,0.001,155.6,72.4,4.4,100.7,1.413784,8.936,17.780,77.3,15.2,180.0,10
Uranus,Puck,715,URA111,Laplace,2000-01-01.5,86000.,0.000,0.0,50.1,0.4,216.0,0.761476,0.000,4.452,77.3,15.2,180.0,10
Uranus,Cordelia,706,URA115,Laplace,2000-01-01.0,49800.,0.000,0.0,95.0,0.2,271.4,0.334569,0.000,0.657,77.3,15.2,180.0,15
Uranus,Ophelia,707,URA115,Laplace,2000-01-01.0,53800.,0.011,344.3,280.5,0.1,266.5,0.376855,0.431,0.862,77.3,15.2,180.0,15
Uranus,Bianca,708,URA115,Laplace,2000-01-01.0,59200.,0.001,97.0,236.2,0.1,209.5,0.435007,0.607,1.217,77.3,15.2,180.0,15
Uranus,Cressida,709,URA115,Laplace,2000-01-01.0,61800.,0.000,0.0,332.8,0.1,304.0,0.463154,0.000,1.415,77.3,15.2,180.0,15
Uranus,Desdemona,710,URA115,Laplace,2000-01-01.0,62700.,0.000,0.0,160.4,0.1,96.3,0.473228,0.000,1.454,77.3,15.2,180.0,15
Uranus,Juliet,711,URA115,Laplace,2000-01-01.0,64400.,0.001,291.5,124.8,0.0,0.0,0.493479,1.611,0.000,77.3,15.2,180.0,15
Uranus,Portia,712,URA115,Laplace,2000-01-01.0,66100.,0.000,0.0,343.7,0.0,0.0,0.513196,0.000,0.000,77.3,15.2,180.0,15
Uranus,Rosalind,713,URA115,Laplace,2000-01-01.0,69900.,0.000,0.0,79.4,0.0,0.0,0.558459,0.000,0.000,77.3,15.2,180.0,15
Uranus,Belinda,714,URA115,Laplace,2000-01-01.0,75300.,0.000,0.0,121.3,0.0,0.0,0.623527,0.000,0.000,77.3,15.2,180.0,15
Uranus,Puck,715,URA115,Laplace,2000-01-01.0,86000.,0.000,0.0,174.5,0.3,215.5,0.761477,0.000,4.457,77.3,15.2,180.0,15
Uranus,Perdita,725,URA115,Laplace,2000-01-01.0,76400.,0.002,310.4,32.2,0.0,0.0,0.638411,2.841,0.000,77.3,15.2,180.0,15
Uranus,Mab,726,URA115,Laplace,2000-01-01.0,97700.,0.003,237.9,348.0,0.1,188.2,0.923293,3.402,6.645,77.3,15.2,180.0,15
Uranus,Cupid,727,URA115,Laplace,2000-01-01.0,74400.,0.005,13.5,160.6,0.1,206.6,0.613168,1.738,4.137,77.3,15.2,180.0,15
Uranus,Caliban,716,URA117,ecliptic,2020-01-01.0,7167000.,0.200,349.7,241.2,141.4,174.9,579.759509,8794.600,6483.474,,,,22
Uranus,Sycorax,717,URA117,ecliptic,2020-01-01.0,12193200.,0.520,25.4,332.1,157.0,267.1,1288.404787,1393.574,1863.356,,,,22
Uranus,Prospero,718,URA117,ecliptic,2020-01-01.0,16221000.,0.441,180.4,197.6,149.4,324.5,1979.406729,1154.178,1369.220,,,,22
Uranus,Setebos,719,URA117,ecliptic,2020-01-01.0,17519800.,0.579,356.1,148.0,153.9,244.7,2224.938324,47.540,48.126,,,,22
Uranus,Stephano,720,URA117,ecliptic,2020-01-01.0,7951400.,0.235,17.1,164.4,143.6,193.3,677.557462,5469.054,5189.675,,,,22
Uranus,Trinculo,721,URA117,ecliptic,2020-01-01.0,8502600.,0.220,162.2,55.6,167.1,196.5,749.400270,2589.197,4265.285,,,,22
Uranus,Francisco,722,URA117,ecliptic,2020-01-01.0,4275700.,0.144,137.6,288.4,146.8,101.9,267.108646,12472.628,14419.447,,,,22
Uranus,Margaret,723,URA117,ecliptic,2020-01-01.0,14425000.,0.642,90.7,115.9,60.5,0.9,1655.163399,-,1001.518,,,,22
Uranus,Ferdinand,724,URA117,ecliptic,2020-01-01.0,20421400.,0.395,166.9,172.3,169.2,223.9,2808.699816,747.371,1000.982,,,,22
Uranus,S2023_U1,75051,URA117,ecliptic,2020-01-01.0,7976600.,0.250,158.7,101.8,143.9,260.2,680.775993,5077.800,5021.984,,,,22
Neptune,Triton,801,NEP097,Laplace,2000-01-01.5,354800.,0.000,0.0,63.0,157.3,178.1,5.876994,0.000,340.379,299.8,43.1,0.4,21
Neptune,Naiad,803,NEP097,Laplace,2000-01-01.5,48200.,0.000,0.0,89.7,4.7,41.4,0.293980,0.000,0.575,299.7,42.7,0.4,21
Neptune,Thalassa,804,NEP097,Laplace,2000-01-01.5,50100.,0.000,0.0,165.7,0.2,130.6,0.311078,0.000,0.654,299.7,42.7,0.4,21
Neptune,Despina,805,NEP097,Laplace,2000-01-01.5,52500.,0.000,0.0,125.1,0.0,0.0,0.334656,0.000,0.000,299.7,42.7,0.4,21
Neptune,Galatea,806,NEP097,Laplace,2000-01-01.5,62000.,0.000,0.0,86.7,0.0,0.0,0.428744,0.000,0.000,299.8,43.1,0.4,21
Neptune,Larissa,807,NEP097,Laplace,2000-01-01.5,73500.,0.001,247.3,165.5,0.2,312.0,0.554989,1.257,2.514,299.8,43.1,0.4,21
Neptune,Proteus,808,NEP097,Laplace,2000-01-01.5,117600.,0.000,0.0,276.8,0.0,0.0,1.122315,0.000,0.000,299.8,42.6,0.9,21
Neptune,Hippocamp,814,NEP097,Laplace,2000-01-01.5,105300.,0.001,346.4,286.5,0.3,0.5,0.950390,8.726,661.762,299.8,43.0,0.4,21
Neptune,Nereid,802,NEP101,ecliptic,2020-01-01.0,5504000.,0.749,290.3,318.0,5.8,326.0,360.140332,10392.563,13118.030,,,,32
Neptune,Halimede,809,NEP103,ecliptic,2020-01-01.0,16590500.,0.521,157.9,135.8,119.6,198.5,1879.782527,5394.759,5156.330,,,,23
Neptune,Psamathe,810,NEP103,ecliptic,2020-01-01.0,47615100.,0.414,148.2,183.3,127.8,302.9,9149.513891,1481.738,1332.896,,,,23
Neptune,Sao,811,NEP103,ecliptic,2020-01-01.0,22239900.,0.296,93.5,178.5,50.2,41.8,2919.428695,-,4453.782,,,,23
Neptune,Laomedeia,812,NEP103,ecliptic,2020-01-01.0,23499900.,0.419,146.2,248.1,36.9,57.6,3176.125178,2255.087,3154.006,,,,23
Neptune,Neso,813,NEP103,ecliptic,2020-01-01.0,49895300.,0.455,89.8,13.8,128.4,55.4,9794.986027,-,1115.925,,,,23
Neptune,S2002_N5,85051,NEP103,ecliptic,2020-01-01.0,23414700.,0.433,59.1,303.2,46.3,258.3,3156.555872,2869.113,3120.503,,,,23
Neptune,S2021_N1,85052,NEP103,ecliptic,2020-01-01.0,50700200.,0.503,90.4,237.1,135.2,258.9,10036.651197,-,924.111,,,,23
Pluto,Charon,901,PLU060,equatorial,2000-01-01.5,19600.,0.000,0.0,304.1,0.0,0.0,6.387222,-,-,,,,6
Pluto,Styx,905,PLU060,equatorial,2000-01-01.5,43200.,0.025,322.5,358.1,0.0,0.0,20.16,-,-,,,,6
Pluto,Nix,902,PLU060,equatorial,2000-01-01.5,49300.,0.015,31.4,338.2,0.0,0.0,24.85,-,-,,,,6
Pluto,Kerberos,904,PLU060,equatorial,2000-01-01.5,58300.,0.010,32.1,276.1,0.4,314.3,32.17,-,9,,,,6
Pluto,Hydra,903,PLU060,equatorial,2000-01-01.5,65200.,0.009,139.3,335.0,0.3,114.3,38.20,-,14,,,,6